date,name,direction,traffic,speed,level
2016-7-14 16:50,白石路,西->东,3.6,31.9,基本畅通
2016-7-14 16:50,东滨路,东->西,5.9,20.5,缓  行
2016-7-14 16:50,东滨路,西->东,7,15.1,较 拥 堵
2016-7-14 16:50,桂庙路,东->西,5.8,20.8,缓  行
2016-7-14 16:50,桂庙路,西->东,6.7,16.6,较 拥 堵
2016-7-14 16:50,南山桃园路,东->西,7.1,14.6,较 拥 堵
2016-7-14 16:50,南山桃园路,西->东,6,20.1,缓  行
2016-7-14 16:50,科苑路,南->北,4.7,26.7,缓  行
2016-7-14 16:50,科苑路,北->南,5.2,24.1,缓  行
2016-7-14 16:50,南山创业路,东->西,4.8,26.2,缓  行
2016-7-14 16:50,南山创业路,西->东,7.2,14,较 拥 堵
2016-7-14 16:50,福强路,东->西,3.8,31.1,基本畅通
2016-7-14 16:50,福强路,西->东,3.8,31,基本畅通
2016-7-14 16:50,益田路,南->北,4.6,26.9,缓  行
2016-7-14 16:50,益田路,北->南,3.6,31.8,基本畅通
2016-7-14 16:50,福田金田路,南->北,4.9,25.4,缓  行
2016-7-14 16:50,福田金田路,北->南,5.3,23.4,缓  行
2016-7-14 16:50,福田路,南->北,4,29.8,缓  行
2016-7-14 16:50,福田路,北->南,3.8,31.1,基本畅通
2016-7-14 16:50,华富路,南->北,4.5,27.7,缓  行
2016-7-14 16:50,华富路,北->南,4.9,25.7,缓  行
2016-7-14 16:50,爱国路,南->北,5.8,21,缓  行
2016-7-14 16:50,爱国路,北->南,5.9,20.6,缓  行
2016-7-14 16:50,罗湖桃园路,东->西,7.9,10.3,较 拥 堵
2016-7-14 16:50,罗湖桃园路,西->东,6.6,16.8,较 拥 堵
2016-7-14 16:50,怡景路,东->西,0.2,57.9,畅  通
2016-7-14 16:50,怡景路,西->东,5.5,22.7,缓  行
2016-7-14 16:50,梅观路,南->北,3,34.8,基本畅通
2016-7-14 16:50,梅观路,北->南,0.6,54.3,畅  通
2016-7-14 16:50,新安1_2路,东->西,2.6,37,基本畅通
2016-7-14 16:50,新安1_2路,西->东,3.8,31,基本畅通
2016-7-14 16:50,西乡大道,东->西,4.2,28.8,缓  行
2016-7-14 16:50,西乡大道,西->东,5,24.9,缓  行
2016-7-14 16:50,新安4_5_6路,东->西,2.6,37.1,基本畅通
2016-7-14 16:50,新安4_5_6路,西->东,7.8,10.9,较 拥 堵
2016-7-14 16:50,宝源路,南->北,4.4,28,缓  行
2016-7-14 16:50,宝源路,北->南,6.3,18.7,较 拥 堵
2016-7-14 16:50,永福路,南->北,6.1,19.5,较 拥 堵
2016-7-14 16:50,永福路,北->南,4.7,26.3,缓  行
